tick_ms,target_speed,actual_speed,control_output,position,state,faults
3760,1000.000000,1000.000061,19.999983,2249.999512,RUNNING,0x00000000
3770,1000.000000,1000.000061,19.999983,2259.999512,RUNNING,0x00000000
3780,1000.000000,1000.000061,19.999983,2269.999512,RUNNING,0x00000000
3790,1000.000000,1000.000061,19.999983,2279.999512,RUNNING,0x00000000
3800,1000.000000,1000.000061,19.999983,2289.999512,RUNNING,0x00000000
3810,1000.000000,1000.000061,19.999983,2299.999512,RUNNING,0x00000000
3820,1000.000000,1000.000061,19.999983,2309.999512,RUNNING,0x00000000
3830,1000.000000,1000.000061,19.999983,2319.999512,RUNNING,0x00000000
3840,1000.000000,1000.000061,19.999983,2329.999512,RUNNING,0x00000000
3850,1000.000000,1000.000061,19.999983,2339.999512,RUNNING,0x00000000
3860,1000.000000,1000.000061,19.999983,2349.999512,RUNNING,0x00000000
3870,1000.000000,1000.000061,19.999983,2359.999512,RUNNING,0x00000000
3880,1000.000000,1000.000061,19.999983,2369.999512,RUNNING,0x00000000
3890,1000.000000,1000.000061,19.999983,2379.999512,RUNNING,0x00000000
3900,1000.000000,1000.000061,19.999983,2389.999512,RUNNING,0x00000000
3910,1000.000000,1000.000061,19.999983,2399.999512,RUNNING,0x00000000
3920,1000.000000,1000.000061,19.999983,2409.999512,RUNNING,0x00000000
3930,1000.000000,1000.000061,19.999983,2419.999512,RUNNING,0x00000000
3940,1000.000000,1000.000061,19.999983,2429.999512,RUNNING,0x00000000
3950,1000.000000,1000.000061,19.999983,2439.999512,RUNNING,0x00000000
3960,1000.000000,1000.000061,19.999983,2449.999512,RUNNING,0x00000000
3970,1000.000000,1000.000061,19.999983,2459.999512,RUNNING,0x00000000
3980,1000.000000,1000.000061,19.999983,2469.999512,RUNNING,0x00000000
3990,1000.000000,1000.000061,19.999983,2479.999512,RUNNING,0x00000000
4000,1000.000000,1000.000061,19.999983,2489.999512,RUNNING,0x00000000
4010,1000.000000,1000.000061,19.999983,2499.999512,RUNNING,0x00000000
4020,1000.000000,1000.000061,19.999983,2509.999512,RUNNING,0x00000000
4030,1000.000000,1000.000061,19.999983,2519.999512,RUNNING,0x00000000
4040,1000.000000,1000.000061,19.999983,2529.999512,RUNNING,0x00000000
4050,1000.000000,1000.000061,19.999983,2539.999512,RUNNING,0x00000000
4060,1000.000000,1000.000061,19.999983,2549.999512,RUNNING,0x00000000
4070,1000.000000,1000.000061,19.999983,2559.999512,RUNNING,0x00000000
4080,1000.000000,1000.000061,19.999983,2569.999512,RUNNING,0x00000000
4090,1000.000000,1000.000061,19.999983,2579.999512,RUNNING,0x00000000
4100,1000.000000,1000.000061,19.999983,2589.999512,RUNNING,0x00000000
4110,1000.000000,1000.000061,19.999983,2599.999512,RUNNING,0x00000000
4120,1000.000000,1000.000061,19.999983,2609.999512,RUNNING,0x00000000
4130,1000.000000,1000.000061,19.999983,2619.999512,RUNNING,0x00000000
4140,1000.000000,1000.000061,19.999983,2629.999512,RUNNING,0x00000000
4150,1000.000000,1000.000061,19.999983,2639.999512,RUNNING,0x00000000
4160,1000.000000,1000.000061,19.999983,2649.999512,RUNNING,0x00000000
4170,1000.000000,1000.000061,19.999983,2659.999512,RUNNING,0x00000000
4180,1000.000000,1000.000061,19.999983,2669.999512,RUNNING,0x00000000
4190,1000.000000,1000.000061,19.999983,2679.999512,RUNNING,0x00000000
4200,1000.000000,1000.000061,19.999983,2689.999512,RUNNING,0x00000000
4210,1000.000000,1000.000061,19.999983,2699.999512,RUNNING,0x00000000
4220,1000.000000,1000.000061,19.999983,2709.999512,RUNNING,0x00000000
4230,1000.000000,1000.000061,19.999983,2719.999512,RUNNING,0x00000000
4240,1000.000000,1000.000061,19.999983,2729.999512,RUNNING,0x00000000
